mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
82	82	243	243	1.0	0	0	3/4	2	1	I64(4)		a	i		I64(4)	I		64	4				M	1	1	1, 0, -1		0	1
82	82	244	244	1.0	1/4	1/4	3/4	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
82	82	245	245	1.0	1/2	1/2	3/4	2	1	#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
83	83	246	246	1.0	0	0	3/4	2	1	I		a	i		I	I							M	1	1	0, 4, 1		0	0
83	83	247	247	0.5	1/4	1/4	3/4	2	1	I64		a	i		I64	I		64					M	1	1	1, 0, 4		0	1
83	83	495/2	495/2	1.5	3/8	3/8	3/4	2	1	#vi2		a	i		#vi2	#vi		2					mm7	1	1	1, 3, 0, 4		3	1
84	84	249	249	1.0	0	0	3/4	2	1	I6(4)		a	i		I6(4)	I		6	4				M	1	1	-1, 1, 0		0	-1
84	84	250	250	1.0	1/4	1/4	3/4	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
84	84	251	251	1.0	1/2	1/2	3/4	2	1	#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
85	85	252	252	1.0	0	0	3/4	2	1	I		a	i		I	I							M	1	1	0, 4, 1		0	0
85	85	253	253	0.5	1/4	1/4	3/4	2	1	I64		a	i		I64	I		64					M	1	1	1, 0, 4		0	1
85	85	507/2	507/2	1.5	3/8	3/8	3/4	2	1	#vi2		a	i		#vi2	#vi		2					mm7	1	1	1, 3, 0, 4		3	1
86	86	255	255	0.5	0	0	3/4	2	1	IVM7(+2)		a	i		IVM7(+2)	IV	M	7	+2				MM7	1	1	-1, 3, 0, 4	1	-1	-1
86	86	511/2	511/2	2.5	1/8	1/8	3/4	2	1	IVM7		a	i		IVM7	IV	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1
87	87	258	258	3.0	0	0	3/4	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
88	88	261	261	0.5	0	0	3/4	2	1	IVM7(+2)		a	i		IVM7(+2)	IV	M	7	+2				MM7	1	1	-1, 3, 0, 4	1	-1	-1
88	88	523/2	523/2	2.5	1/8	1/8	3/4	2	1	IVM7		a	i		IVM7	IV	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1
89	89	264	264	1.0	0	0	3/4	2	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
89	89	265	265	1.0	1/4	1/4	3/4	2	1	ii64		a	i		ii64	ii		64					m	1	1	3, 2, -1		2	3
89	89	266	266	1.0	1/2	1/2	3/4	2	1	ii2		a	i		ii2	ii		2					mm7	1	1	0, 2, -1, 3		2	0
90	90	267	267	3.0	0	0	3/4	2	1	#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
91	91	270	270	1.0	0	0	3/4	2	1	V7/#vi		a	i		V7/#vi	V		7		#vi			Mm7	1	1	4, 8, 5, 2		4	4
91	91	271	271	2.0	1/4	1/4	3/4	2	1	V2/#vi		a	i		V2/#vi	V		2		#vi			Mm7	1	1	2, 4, 8, 5		4	2
92	92	273	273	3.0	0	0	3/4	2	1	#vi		a	i		#vi	#vi							m	1	1	3, 0, 4		3	3
93	93	276	276	4.0	0	0	3/4	2	1	IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
94	94	280	280	1.0	1/4	1/4	3/4	2	1	IV(2)		a	i		IV(2)	IV			2				M	1	1	1, 3, 0		-1	1
94	94	281	281	1.0	1/2	1/2	3/4	2	1	IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
